Discipline	Season	Year	Event	Prompt
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 1988 olympic games?
Swimming	Summer	1988	4 x 100 metres Medley Relay	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 100 metres Relay	Who won the medals in the Athletics 4 x 100 metres Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 400 metres Relay	Who won the medals in the Athletics 4 x 400 metres Relay event at the 1988 olympic games?
Basketball	Summer	1988	Basketball	Who won the medals in the Basketball event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Eights	Who won the medals in the Rowing Coxed Eights event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Fours	Who won the medals in the Rowing Coxed Fours event at the 1988 olympic games?
Field Hockey	Summer	1988	Field Hockey	Who won the medals in the Field Hockey event at the 1988 olympic games?
Fencing	Summer	1988	Foil, Team	Who won the medals in the Fencing Foil, Team event at the 1988 olympic games?
Handball	Summer	1988	Handball	Who won the medals in the Handball event at the 1988 olympic games?
Indoor Volleyball	Summer	1988	Indoor Volleyball	Who won the medals in the Indoor Volleyball event at the 1988 olympic games?
Rowing	Summer	1988	Quadruple Sculls	Who won the medals in the Rowing Quadruple Sculls event at the 1988 olympic games?
Archery	Summer	1988	Team	Who won the medals in the Archery Team event at the 1988 olympic games?
Artistic Gymnastics	Summer	1988	Team All-Around	Who won the medals in the Artistic Gymnastics Team All-Around event at the 1988 olympic games?
Swimming	Summer	1992	4 x 100 metres Freestyle Relay	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 1992 olympic games?
Swimming	Summer	1992	4 x 100 metres Medley Relay	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 100 metres Relay	Who won the medals in the Athletics 4 x 100 metres Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 400 metres Relay	Who won the medals in the Athletics 4 x 400 metres Relay event at the 1992 olympic games?
Basketball	Summer	1992	Basketball	Who won the medals in the Basketball event at the 1992 olympic games?
Rowing	Summer	1992	Coxed Eights	Who won the medals in the Rowing Coxed Eights event at the 1992 olympic games?
Rowing	Summer	1992	Coxless Fours	Who won the medals in the Rowing Coxless Fours event at the 1992 olympic games?
Field Hockey	Summer	1992	Field Hockey	Who won the medals in the Field Hockey event at the 1992 olympic games?
Fencing	Summer	1992	Foil, Team	Who won the medals in the Fencing Foil, Team event at the 1992 olympic games?
Handball	Summer	1992	Handball	Who won the medals in the Handball event at the 1992 olympic games?
Indoor Volleyball	Summer	1992	Indoor Volleyball	Who won the medals in the Indoor Volleyball event at the 1992 olympic games?
Rowing	Summer	1992	Quadruple Sculls	Who won the medals in the Rowing Quadruple Sculls event at the 1992 olympic games?
Archery	Summer	1992	Team	Who won the medals in the Archery Team event at the 1992 olympic games?
Artistic Gymnastics	Summer	1992	Team All-Around	Who won the medals in the Artistic Gymnastics Team All-Around event at the 1992 olympic games?
Biathlon	Winter	1994	4 x 7.5 kilometres Relay	Who won the medals in the Biathlon 4 x 7.5 kilometres Relay event at the 1994 olympic games?
