Discipline	Season	Year	Event	Gender	Prompt
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 1988 olympic games?
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 1988 olympic games?
Swimming	Summer	1988	4 x 100 metres Medley Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 1988 olympic games?
Swimming	Summer	1988	4 x 100 metres Medley Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 100 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 100 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 400 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 400 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 1988 olympic games?
Basketball	Summer	1988	Basketball	Men	Who won the medals in the Men's Basketball event at the 1988 olympic games?
Basketball	Summer	1988	Basketball	Women	Who won the medals in the Women's Basketball event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Eights	Men	Who won the medals in the Men's Rowing Coxed Eights event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Eights	Women	Who won the medals in the Women's Rowing Coxed Eights event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Fours	Men	Who won the medals in the Men's Rowing Coxed Fours event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Fours	Women	Who won the medals in the Women's Rowing Coxed Fours event at the 1988 olympic games?
Field Hockey	Summer	1988	Field Hockey	Men	Who won the medals in the Men's Field Hockey event at the 1988 olympic games?
Field Hockey	Summer	1988	Field Hockey	Women	Who won the medals in the Women's Field Hockey event at the 1988 olympic games?
Fencing	Summer	1988	Foil, Team	Men	Who won the medals in the Men's Fencing Foil, Team event at the 1988 olympic games?
Fencing	Summer	1988	Foil, Team	Women	Who won the medals in the Women's Fencing Foil, Team event at the 1988 olympic games?
Handball	Summer	1988	Handball	Men	Who won the medals in the Men's Handball event at the 1988 olympic games?
Handball	Summer	1988	Handball	Women	Who won the medals in the Women's Handball event at the 1988 olympic games?
Indoor Volleyball	Summer	1988	Indoor Volleyball	Men	Who won the medals in the Men's Indoor Volleyball event at the 1988 olympic games?
Indoor Volleyball	Summer	1988	Indoor Volleyball	Women	Who won the medals in the Women's Indoor Volleyball event at the 1988 olympic games?
Rowing	Summer	1988	Quadruple Sculls	Men	Who won the medals in the Men's Rowing Quadruple Sculls event at the 1988 olympic games?
Rowing	Summer	1988	Quadruple Sculls	Women	Who won the medals in the Women's Rowing Quadruple Sculls event at the 1988 olympic games?
Archery	Summer	1988	Team	Men	Who won the medals in the Men's Archery Team event at the 1988 olympic games?
Archery	Summer	1988	Team	Women	Who won the medals in the Women's Archery Team event at the 1988 olympic games?
Artistic Gymnastics	Summer	1988	Team All-Around	Men	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 1988 olympic games?
Artistic Gymnastics	Summer	1988	Team All-Around	Women	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 1988 olympic games?
Swimming	Summer	1992	4 x 100 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 1992 olympic games?
Swimming	Summer	1992	4 x 100 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 1992 olympic games?
Swimming	Summer	1992	4 x 100 metres Medley Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 1992 olympic games?
Swimming	Summer	1992	4 x 100 metres Medley Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 100 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 100 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 400 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 400 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 1992 olympic games?
Basketball	Summer	1992	Basketball	Men	Who won the medals in the Men's Basketball event at the 1992 olympic games?
Basketball	Summer	1992	Basketball	Women	Who won the medals in the Women's Basketball event at the 1992 olympic games?
Rowing	Summer	1992	Coxed Eights	Men	Who won the medals in the Men's Rowing Coxed Eights event at the 1992 olympic games?
Rowing	Summer	1992	Coxed Eights	Women	Who won the medals in the Women's Rowing Coxed Eights event at the 1992 olympic games?
Rowing	Summer	1992	Coxless Fours	Men	Who won the medals in the Men's Rowing Coxless Fours event at the 1992 olympic games?
Rowing	Summer	1992	Coxless Fours	Women	Who won the medals in the Women's Rowing Coxless Fours event at the 1992 olympic games?
Field Hockey	Summer	1992	Field Hockey	Men	Who won the medals in the Men's Field Hockey event at the 1992 olympic games?
Field Hockey	Summer	1992	Field Hockey	Women	Who won the medals in the Women's Field Hockey event at the 1992 olympic games?
Fencing	Summer	1992	Foil, Team	Men	Who won the medals in the Men's Fencing Foil, Team event at the 1992 olympic games?
Fencing	Summer	1992	Foil, Team	Women	Who won the medals in the Women's Fencing Foil, Team event at the 1992 olympic games?
Handball	Summer	1992	Handball	Men	Who won the medals in the Men's Handball event at the 1992 olympic games?
Handball	Summer	1992	Handball	Women	Who won the medals in the Women's Handball event at the 1992 olympic games?
Indoor Volleyball	Summer	1992	Indoor Volleyball	Men	Who won the medals in the Men's Indoor Volleyball event at the 1992 olympic games?
Indoor Volleyball	Summer	1992	Indoor Volleyball	Women	Who won the medals in the Women's Indoor Volleyball event at the 1992 olympic games?
Rowing	Summer	1992	Quadruple Sculls	Men	Who won the medals in the Men's Rowing Quadruple Sculls event at the 1992 olympic games?
Rowing	Summer	1992	Quadruple Sculls	Women	Who won the medals in the Women's Rowing Quadruple Sculls event at the 1992 olympic games?
Archery	Summer	1992	Team	Men	Who won the medals in the Men's Archery Team event at the 1992 olympic games?
Archery	Summer	1992	Team	Women	Who won the medals in the Women's Archery Team event at the 1992 olympic games?
Artistic Gymnastics	Summer	1992	Team All-Around	Men	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 1992 olympic games?
Artistic Gymnastics	Summer	1992	Team All-Around	Women	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 1992 olympic games?
Biathlon	Winter	1994	4 x 7.5 kilometres Relay	Men	Who won the medals in the Men's Biathlon 4 x 7.5 kilometres Relay event at the 1994 olympic games?
Biathlon	Winter	1994	4 x 7.5 kilometres Relay	Women	Who won the medals in the Women's Biathlon 4 x 7.5 kilometres Relay event at the 1994 olympic games?
Swimming	Summer	1996	4 x 100 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 100 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 100 metres Medley Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 100 metres Medley Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 100 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 100 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 200 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 200 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 400 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 400 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 1996 olympic games?
Basketball	Summer	1996	Basketball	Men	Who won the medals in the Men's Basketball event at the 1996 olympic games?
Basketball	Summer	1996	Basketball	Women	Who won the medals in the Women's Basketball event at the 1996 olympic games?
Rowing	Summer	1996	Coxed Eights	Men	Who won the medals in the Men's Rowing Coxed Eights event at the 1996 olympic games?
Rowing	Summer	1996	Coxed Eights	Women	Who won the medals in the Women's Rowing Coxed Eights event at the 1996 olympic games?
